179,99,1553,3605,683
179,98,1553,3605,682
179,98,1553,3608,681
179,98,1553,3607,681
177,98,1553,3609,680
177,98,1553,3607,679
177,98,1553,3608,679
177,98,1554,3609,678
177,98,1554,3609,678
177,98,1554,3610,677
177,98,1554,3610,677
177,98,1554,3610,676
177,98,1556,3644,677
177,98,1555,3638,676
177,98,1555,3640,675
177,98,1555,3639,674
177,98,1555,3641,674
177,98,1555,3637,673
176,98,1555,3638,672
176,98,1555,3638,672
177,98,1556,3639,672
176,98,1557,3640,672
176,98,1557,3643,672
176,97,1556,3638,671
176,97,1556,3639,670
176,97,1555,3635,668
176,98,1557,3602,669
176,98,1559,3604,671
176,98,1560,3606,671
176,98,1559,3607,670
176,97,1559,3609,669
176,97,1558,3608,668
175,97,1558,3610,667
175,97,1558,3612,666
175,97,1558,3613,665
175,97,1557,3611,664
1
