73,61,1473,1102,328
72,60,1467,1098,326
73,61,1472,1101,326
73,61,1473,1102,326
73,61,1475,1102,325
73,60,1476,1103,325
72,60,1471,1099,324
73,61,1476,1103,324
73,61,1477,1103,324
73,61,1474,1103,324
73,60,1472,1102,324
72,61,1473,1101,323
72,60,1468,1098,321
72,61,1473,1101,322
72,61,1474,1102,322
73,61,1474,1102,322
72,60,1474,1102,321
72,60,1468,1098,320
72,61,1472,1101,321
72,60,1471,1100,320
72,61,1472,1101,320
72,61,1472,1101,320
72,61,1472,1100,319
72,60,1467,1097,318
72,61,1471,1100,319
72,60,1470,1100,319
72,60,1470,1100,319
72,61,1471,1100,319
71,60,1466,1097,317
72,60,1470,1099,318
