169,100,1582,3611,663,B,X,X,X,X,4
169,100,1582,3612,660,B,X,X,X,X,4
169,100,1582,3609,658,B,X,X,X,X,4
169,100,1582,3611,655,B,X,X,X,X,4
169,100,1581,3609,653,B,X,X,X,X,4
169,99,1581,3609,650,B,X,X,X,X,4
169,100,1581,3610,648,B,X,X,X,X,4
170,100,1581,3611,647,B,X,X,X,X,4
170,100,1581,3611,645,B,X,X,X,X,4
170,100,1581,3615,643,B,X,X,X,X,4
170,100,1581,3608,642,B,X,X,X,X,4
170,100,1581,3608,641,B,X,X,X,X,4
170,100,1581,3609,639,B,X,X,X,X,4
170,100,1580,3610,638,B,X,X,X,X,4
170,100,1580,3610,637,B,X,X,X,X,4
170,100,1580,3610,636,B,X,X,X,X,4
170,100,1580,3609,635,B,X,X,X,X,4
171,100,1580,3609,635,B,X,X,X,X,4
170,99,1580,3609,633,B,X,X,X,X,4
171,100,1580,3607,633,B,X,X,X,X,4
171,99,1580,3608,632,B,X,X,X,X,4
171,99,1580,3608,631,B,X,X,X,X,4
171,99,1580,3608,630,B,X,X,X,X,4
171,99,1579,3606,629,B,X,X,X,X,4
171,99,1580,3609,628,B,X,X,X,X,4
171,99,1580,3607,627,B,X,X,X,X,4
171,99,1580,3608,626,B,X,X,X,X,4
172,99,1580,3608,625,B,X,X,X,X,4
172,99,1580,3610,624,B,X,X,X,X,4
172,99,1580,3609,624,B,X,X,X,X,4
172,98,1580,3609,623,B,X,X,X,X,4
172,98,1580,3606,622,B,X,X,X,X,4
172,98,1580,3610,622,B,X,X,X,X,4
173,98,1580,3617,621,B,X,X,X,X,4
173,98,1580,3612,621,B,X,X,X,X,4
173,98,1580,3613,621,B,X,X,X,X,4
173,98,1580,3613,620,B,X,X,X,X,4
173,98,1581,3612,620,B,X,X,X,X,4
173,98,1580,3613,620,B,X,X,X,X,4
173,98,1580,3611,619,B,X,X,X,X,4
173,98,1580,3612,619,B,X,X,X,X,4
173,98,1580,3612,619,B,X,X,X,X,4
173,98,1580,3611,618,B,X,X,X,X,4
173,98,1580,3610,618,B,X,X,X,X,4
173,98,1580,3614,618,B,X,X,X,X,4
173,98,1580,3611,618,B,X,X,X,X,4
173,98,1581,3611,617,B,X,X,X,X,4
