timestamp,mq135
2026-02-24T11:43:51,365
2026-02-24T11:43:52,332
2026-02-24T11:43:53,326
2026-02-24T11:43:54,372
2026-02-24T11:43:55,342
2026-02-24T11:43:56,340
2026-02-24T11:43:57,339
2026-02-24T11:43:58,333
2026-02-24T11:43:59,372
2026-02-24T11:44:00,331
2026-02-24T11:44:01,368
2026-02-24T11:44:02,372
2026-02-24T11:44:03,359
2026-02-24T11:44:04,330
2026-02-24T11:44:05,362
2026-02-24T11:44:06,352
2026-02-24T11:44:07,327
2026-02-24T11:44:08,326
2026-02-24T11:44:09,330
2026-02-24T11:44:10,338
2026-02-24T11:44:11,339
2026-02-24T11:44:12,357
2026-02-24T11:44:13,363
2026-02-24T11:44:14,326
2026-02-24T11:44:15,360
2026-02-24T11:44:16,337
2026-02-24T11:44:17,370
2026-02-24T11:44:18,366
2026-02-24T11:44:19,369
2026-02-24T11:44:20,359
2026-02-24T11:44:21,351
2026-02-24T11:44:22,339
2026-02-24T11:44:23,353
2026-02-24T11:44:24,362
2026-02-24T11:44:25,342
2026-02-24T11:44:26,325
2026-02-24T11:44:27,373
2026-02-24T11:44:28,335
2026-02-24T11:44:29,369
2026-02-24T11:44:30,352
2026-02-24T11:44:31,346
2026-02-24T11:44:32,342
2026-02-24T11:44:33,334
2026-02-24T11:44:34,338
2026-02-24T11:44:35,373
2026-02-24T11:44:36,346
2026-02-24T11:44:37,331
2026-02-24T11:44:38,330
2026-02-24T11:44:39,349
2026-02-24T11:44:40,331
2026-02-24T11:44:41,347
2026-02-24T11:44:42,347
2026-02-24T11:44:43,363
2026-02-24T11:44:44,341
2026-02-24T11:44:45,327
2026-02-24T11:44:46,371
2026-02-24T11:44:47,354
2026-02-24T11:44:48,359
2026-02-24T11:44:49,332
2026-02-24T11:44:50,349
2026-02-24T11:44:51,330
2026-02-24T11:44:52,360
2026-02-24T11:44:53,343
2026-02-24T11:44:54,365
2026-02-24T11:44:55,364
2026-02-24T11:44:56,348
2026-02-24T11:44:57,361
2026-02-24T11:44:58,337
2026-02-24T11:44:59,370
2026-02-24T11:45:00,329
2026-02-24T11:45:01,327
2026-02-24T11:45:02,367
2026-02-24T11:45:03,339
2026-02-24T11:45:04,374
2026-02-24T11:45:05,343
2026-02-24T11:45:06,330
2026-02-24T11:45:07,339
2026-02-24T11:45:08,331
2026-02-24T11:45:09,349
2026-02-24T11:45:10,342
2026-02-24T11:45:11,354
2026-02-24T11:45:12,365
2026-02-24T11:45:13,348
2026-02-24T11:45:14,335
2026-02-24T11:45:15,348
2026-02-24T11:45:16,347
2026-02-24T11:45:17,338
2026-02-24T11:45:18,367
2026-02-24T11:45:19,342
2026-02-24T11:45:20,369
2026-02-24T11:45:21,368
2026-02-24T11:45:22,366
2026-02-24T11:45:23,329
2026-02-24T11:45:24,363
2026-02-24T11:45:25,365
2026-02-24T11:45:26,335
2026-02-24T11:45:27,359
2026-02-24T11:45:28,371
2026-02-24T11:45:29,340
2026-02-24T11:45:30,335
2026-02-24T11:45:31,354
2026-02-24T11:45:32,349
2026-02-24T11:45:33,342
2026-02-24T11:45:34,365
2026-02-24T11:45:35,369
2026-02-24T11:45:36,360
2026-02-24T11:45:37,339
2026-02-24T11:45:38,368
2026-02-24T11:45:39,345
2026-02-24T11:45:40,374
2026-02-24T11:45:41,374
2026-02-24T11:45:42,328
2026-02-24T11:45:43,339
2026-02-24T11:45:44,327
2026-02-24T11:45:45,345
2026-02-24T11:45:46,350
2026-02-24T11:45:47,342
2026-02-24T11:45:48,329
2026-02-24T11:45:49,338
2026-02-24T11:45:50,361
